(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSNWH328\DNS\Total Response Sent/sec,\\ELBDCSNWH328\DNS\Total Query Received/sec
9/12/2016 17:03:46,38.88316333,38.88316333
9/12/2016 17:04:01,21.92283517,21.92283517
9/12/2016 17:04:16,23.98812002,23.98812002
9/12/2016 17:04:31,56.0983864,56.0983864
9/12/2016 17:04:46,29.78581818,29.78581818
9/12/2016 17:05:01,22.54582319,22.54582319
9/12/2016 17:05:16,29.31492714,29.51480165
9/12/2016 17:05:31,38.61692312,38.48353133
9/12/2016 17:05:46,29.85628389,29.85628389
9/12/2016 17:06:01,26.28132269,26.28132269
9/12/2016 17:06:16,27.71993082,27.71993082
9/12/2016 17:06:31,45.09202471,45.09202471
9/12/2016 17:06:46,52.57473228,52.57473228
9/12/2016 17:07:01,44.15777946,44.15777946
9/12/2016 17:07:16,30.91291943,30.91291943
9/12/2016 17:07:31,32.09041958,32.09041958
9/12/2016 17:07:46,33.71691591,33.71691591
9/12/2016 17:08:01,46.3111542,46.3111542
9/12/2016 17:08:16,35.82001923,35.82001923
9/12/2016 17:08:31,41.91270783,41.91270783
9/12/2016 17:08:46,32.48522326,32.48522326
9/12/2016 17:09:01,33.91669309,33.91669309
9/12/2016 17:09:16,38.5552356,38.5552356
9/12/2016 17:09:31,37.78168253,37.78168253
9/12/2016 17:09:46,38.68816348,38.68816348
9/12/2016 17:10:01,30.91843172,30.91843172
9/12/2016 18:00:01, , 
9/12/2016 18:00:16,52.60251388,52.60251388
9/12/2016 18:00:31,49.97547377,49.97547377
9/12/2016 18:00:46,48.56107952,48.56107952
9/12/2016 18:01:01,45.37759144,45.4442252
9/12/2016 18:01:16,48.82766571,48.76096125
9/12/2016 18:01:31,44.37880601,44.37880601
9/12/2016 18:01:46,26.20985838,26.20985838
9/12/2016 18:02:01,25.45864641,25.45864641
9/12/2016 18:02:16,38.75104867,38.75104867
9/12/2016 18:02:31,29.8557639,29.8557639
9/12/2016 18:02:46,29.08300871,29.08300871
9/12/2016 18:03:01,42.44553231,42.44553231
9/12/2016 18:03:16,21.81237329,21.81237329
9/12/2016 18:03:31,28.91950514,28.91950514
9/12/2016 18:03:46,33.41864882,33.41864882
9/12/2016 18:04:01,29.78575982,29.78575982
9/12/2016 18:04:16,46.30931605,46.30931605
9/12/2016 18:04:31,33.21952963,33.21952963
9/12/2016 18:04:46,26.25334214,26.25334214
9/12/2016 18:05:01,36.15446922,36.15446922
9/12/2016 18:05:16,32.18460128,32.18460128
9/12/2016 18:05:31,29.81593898,29.81593898
9/12/2016 18:05:46,22.9895212,22.9895212
9/12/2016 18:06:01,28.48156437,28.48156437
9/12/2016 18:06:16,24.98701104,24.98701104
9/12/2016 18:06:31,33.15181226,33.15181226
9/12/2016 18:06:46,28.98614211,28.98614211
9/12/2016 18:07:01,31.41738899,31.41738899
9/12/2016 18:07:16,22.98422737,22.98422737
9/12/2016 18:07:31,25.35259396,25.35259396
9/12/2016 18:07:46,24.85484604,24.85484604
9/12/2016 18:08:01,26.31983596,26.38646846
9/12/2016 18:08:16,21.27679335,21.21009494
9/12/2016 18:08:31,30.32203863,30.32203863
9/12/2016 18:08:46,25.54783893,25.54783893
9/12/2016 18:09:01,23.5812593,23.5812593
9/12/2016 18:09:16,31.42708589,31.42708589
9/12/2016 18:09:31,28.98635214,28.98635214
9/12/2016 18:09:46,23.54359594,23.61029168
9/12/2016 18:10:01,26.32374147,26.25709909
9/12/2016 19:00:02, , 
9/12/2016 19:00:17,21.80346595,21.80346595
9/12/2016 19:00:32,24.388555,24.388555
9/12/2016 19:00:47,18.2099535,18.2099535
9/12/2016 19:01:02,23.7222378,23.7222378
9/12/2016 19:01:17,21.34497826,21.34497826
9/12/2016 19:01:32,23.65553217,23.65553217
9/12/2016 19:01:47,18.81039897,18.81039897
9/12/2016 19:02:02,21.92278405,21.92278405
9/12/2016 19:02:17,21.74550264,21.74550264
9/12/2016 19:02:32,37.38220586,37.38220586
9/12/2016 19:02:47,19.94431144,19.94431144
9/12/2016 19:03:02,27.58683987,27.58683987
9/12/2016 19:03:17,20.74483437,20.74483437
9/12/2016 19:03:32,23.38864505,23.38864505
9/12/2016 19:03:47,19.34424864,19.34424864
9/12/2016 19:04:02,22.78898244,22.78898244
9/12/2016 19:04:17,21.72281858,21.72281858
9/12/2016 19:04:32,22.87954369,22.87954369
9/12/2016 19:04:47,21.32290741,21.32290741
9/12/2016 19:05:02,22.47938284,22.47938284
9/12/2016 19:05:17,26.25404943,26.25404943
9/12/2016 19:05:32,26.21467733,26.28138134
9/12/2016 19:05:47,20.65656011,20.58992605
9/12/2016 19:06:02,23.61334764,23.61334764
9/12/2016 19:06:17,22.45159511,22.45159511
9/12/2016 19:06:32,26.08620551,26.08620551
9/12/2016 19:06:47,25.65412847,25.65412847
9/12/2016 19:07:02,22.41262112,22.47932535
9/12/2016 19:07:17,20.92303318,21.0563009
9/12/2016 19:07:32,35.82045945,35.88716422
9/12/2016 19:07:47,22.25564572,22.25564572
9/12/2016 19:08:02,20.25706974,20.25706974
9/12/2016 19:08:17,39.55555411,39.55555411
9/12/2016 19:08:32,29.65241886,29.65241886
9/12/2016 19:08:47,20.81157331,20.81157331
9/12/2016 19:09:02,22.12266027,22.12266027
9/12/2016 19:09:17,20.01111252,20.01111252
9/12/2016 19:09:32,25.32129499,25.32129499
9/12/2016 19:09:47,24.88015648,24.88015648
9/12/2016 19:10:02,22.25618037,22.25618037
9/12/2016 20:00:01, , 
9/12/2016 20:00:16,18.94144868,18.94144868
9/12/2016 20:00:31,22.25595748,22.25595748
9/12/2016 20:00:46,17.80988666,17.80988666
9/12/2016 20:01:01,19.79050294,19.79050294
9/12/2016 20:01:16,20.67805481,20.67805481
9/12/2016 20:01:31,21.32295335,21.32295335
9/12/2016 20:01:46,19.67794747,19.67794747
9/12/2016 20:02:01,20.92317213,21.05644074
9/12/2016 20:02:16,36.75357741,36.75357741
9/12/2016 20:02:31,47.04426129,47.04426129
9/12/2016 20:02:46,32.41833439,32.41833439
