(PDH-CSV 4.0) (Eastern Daylight Time)(240),\\ELBDCSGRO331\DNS\Total Response Sent/sec,\\ELBDCSGRO331\DNS\Total Query Received/sec
9/12/2016 16:05:01,65.70344814,65.70344814
9/12/2016 16:05:16,56.17293941,56.17293941
9/12/2016 16:05:31,128.6737506,128.6737506
9/12/2016 16:05:46,96.74043401,96.74043401
9/12/2016 16:06:01,67.17997336,67.17997336
9/12/2016 16:06:16,121.8615127,121.8615127
9/12/2016 16:06:31,50.70043254,50.70043254
9/12/2016 16:06:46,126.2702807,126.2702807
9/12/2016 16:07:01,77.70722646,77.70722646
9/12/2016 16:07:16,61.03660658,61.03660658
9/12/2016 16:07:31,157.431305,157.431305
9/12/2016 16:07:46,177.9542148,177.9542148
9/12/2016 16:08:01,63.24146816,63.30810827
9/12/2016 16:08:16,88.52080765,88.52080765
9/12/2016 16:08:31,78.02981614,77.96318095
9/12/2016 16:08:46,67.97142559,67.97142559
9/12/2016 16:09:01,94.55137909,94.6180115
9/12/2016 16:09:16,240.9241164,240.9241164
9/12/2016 16:09:31,67.70491068,67.77154937
9/12/2016 16:09:46,60.23442689,60.23442689
9/12/2016 16:10:01,73.03039845,73.09703203
9/12/2016 17:00:01, , 
9/12/2016 17:00:16,47.69156469,47.69156469
9/12/2016 17:00:31,35.04984207,35.04984207
9/12/2016 17:00:46,38.3564312,38.3564312
9/12/2016 17:01:01,89.62394425,89.62394425
9/12/2016 17:01:16,65.16971558,65.16971558
9/12/2016 17:01:31,58.23854076,58.23854076
9/12/2016 17:01:46,38.8882821,38.8882821
9/12/2016 17:02:01,82.49386837,82.56050316
9/12/2016 17:02:16,67.23752256,67.17081866
9/12/2016 17:02:31,85.62539899,85.62539899
9/12/2016 17:02:46,155.7536692,155.7536692
9/12/2016 17:03:01,69.83302063,69.83302063
9/12/2016 17:03:16,48.02668928,48.02668928
9/12/2016 17:03:31,54.1074139,54.1074139
9/12/2016 17:03:46,44.62266135,44.62266135
9/12/2016 17:04:01,54.97617985,54.97617985
9/12/2016 17:04:16,83.55994838,83.6265831
9/12/2016 17:04:31,70.3029005,70.23619946
9/12/2016 17:04:46,113.5500443,113.5500443
9/12/2016 17:05:01,44.02458372,44.02458372
9/12/2016 17:05:16,54.02904831,54.02904831
9/12/2016 17:05:31,42.49943833,42.49943833
9/12/2016 17:05:46,79.22071244,79.22071244
9/12/2016 17:06:01,56.6346206,56.6346206
9/12/2016 17:06:16,80.0273257,80.09395961
9/12/2016 17:06:31,50.16174629,50.09504184
9/12/2016 17:06:46,37.11725924,37.11725924
9/12/2016 17:07:01,63.36862541,63.36862541
9/12/2016 17:07:16,44.11211821,44.17875283
9/12/2016 17:07:31,78.04364313,77.97693917
9/12/2016 17:07:46,147.262419,147.3290536
9/12/2016 17:08:01,112.2791424,112.2125078
9/12/2016 17:08:16,64.83620512,64.83620512
9/12/2016 17:08:31,73.1647184,73.1647184
9/12/2016 17:08:46,139.2698065,139.2698065
9/12/2016 17:09:01,41.71529131,41.78192916
9/12/2016 17:09:16,54.83101537,54.76431098
9/12/2016 17:09:31,55.30232713,55.30232713
9/12/2016 17:09:46,39.09149729,39.09149729
9/12/2016 17:10:01,37.18212452,37.18212452
9/12/2016 18:00:01, , 
9/12/2016 18:00:16,47.09447655,47.02777049
9/12/2016 18:00:31,50.57425048,50.57425048
9/12/2016 18:00:46,38.15588672,38.15588672
9/12/2016 18:01:01,49.30964677,49.30964677
9/12/2016 18:01:16,63.23513235,63.23513235
9/12/2016 18:01:31,68.23387911,68.23387911
9/12/2016 18:01:46,62.56836442,62.56836442
9/12/2016 18:02:01,31.38488307,31.38488307
9/12/2016 18:02:16,64.30261574,64.30261574
9/12/2016 18:02:31,39.91382047,39.91382047
9/12/2016 18:02:46,156.1547723,156.2214766
9/12/2016 18:03:01,72.96461412,72.96461412
9/12/2016 18:03:16,72.24062067,72.24062067
9/12/2016 18:03:31,39.5808996,39.5808996
9/12/2016 18:03:46,38.22136415,38.22136415
9/12/2016 18:04:01,36.249198,36.249198
9/12/2016 18:04:16,38.04829522,38.11492972
9/12/2016 18:04:31,51.62877661,51.56207276
9/12/2016 18:04:46,45.10518143,45.10518143
9/12/2016 18:05:01,82.4524926,82.4524926
9/12/2016 18:05:16,42.91263435,42.91263435
9/12/2016 18:05:31,40.48919551,40.48919551
9/12/2016 18:05:46,32.98415423,32.98415423
9/12/2016 18:06:01,30.55035737,30.55035737
9/12/2016 18:06:16,55.56894471,55.56894471
9/12/2016 18:06:31,35.22229799,35.28900689
9/12/2016 18:06:46,34.05037748,33.98374269
9/12/2016 18:07:01,40.41921267,40.41921267
9/12/2016 18:07:16,36.25224022,36.25224022
9/12/2016 18:07:31,32.95169903,32.95169903
9/12/2016 18:07:46,117.2099496,117.2099496
9/12/2016 18:08:01,44.51198062,44.51198062
9/12/2016 18:08:16,40.08898365,40.22239125
9/12/2016 18:08:31,73.63111423,73.56447973
9/12/2016 18:08:46,61.70126197,61.63455791
9/12/2016 18:09:01,42.44625154,42.44625154
9/12/2016 18:09:16,46.55924529,46.55924529
9/12/2016 18:09:31,51.57517017,51.57517017
9/12/2016 18:09:46,40.62211766,40.62211766
9/12/2016 18:10:01,42.04704946,42.04704946
9/12/2016 19:00:01, , 
9/12/2016 19:00:16,41.06080711,41.06080711
9/12/2016 19:00:31,45.44481082,45.44481082
9/12/2016 19:00:46,42.35689686,42.35689686
9/12/2016 19:01:01,67.29432899,67.29432899
9/12/2016 19:01:16,40.42659742,40.42659742
9/12/2016 19:01:31,34.11687573,34.18351025
9/12/2016 19:01:46,36.8206009,36.75389691
9/12/2016 19:02:01,35.38288127,35.38288127
9/12/2016 19:02:16,38.15470375,38.15470375
9/12/2016 19:02:31,64.16801828,64.16801828
9/12/2016 19:02:46,96.92218604,96.92218604
9/12/2016 19:03:01,82.2271838,82.2271838
9/12/2016 19:03:16,75.84240051,75.84240051
9/12/2016 19:03:31,33.31717261,33.31717261
9/12/2016 19:03:46,151.3275001,151.3275001
9/12/2016 19:04:01,34.95004412,34.95004412
9/12/2016 19:04:16,40.31711302,40.31711302
9/12/2016 19:04:31,96.25376151,96.25376151
9/12/2016 19:04:46,46.64408702,46.64408702
9/12/2016 19:05:01,32.28469804,32.28469804
9/12/2016 19:05:16,36.84900692,36.84900692
9/12/2016 19:05:31,43.29072873,43.29072873
9/12/2016 19:05:46,79.89369128,79.96032488
9/12/2016 19:06:01,27.08218302,27.01547814
9/12/2016 19:06:16,31.85138674,31.85138674
9/12/2016 19:06:31,77.57626252,77.57626252
9/12/2016 19:06:46,51.64200832,51.64200832
9/12/2016 19:07:01,54.69717186,54.69717186
9/12/2016 19:07:16,31.31828712,31.31828712
9/12/2016 19:07:31,43.51021063,43.51021063
9/12/2016 19:07:46,138.6794163,138.6794163
9/12/2016 19:08:01,55.84170995,55.84170995
9/12/2016 19:08:16,41.75387348,41.88727244
9/12/2016 19:08:31,46.11096968,46.04433533
9/12/2016 19:08:46,79.5780131,79.5780131
9/12/2016 19:09:01,64.36429785,64.29766814
9/12/2016 19:09:16,39.89184166,39.89184166
9/12/2016 19:09:31,52.57460872,52.6412432
9/12/2016 19:09:46,55.56439436,55.49769041
9/12/2016 19:10:01,38.91451393,38.98114837
9/12/2016 20:00:01, , 
9/12/2016 20:00:16,34.59528185,34.59528185
9/12/2016 20:00:31,57.71227103,57.71227103
9/12/2016 20:00:46,40.35583495,40.35583495
9/12/2016 20:01:01,28.05318297,28.05318297
9/12/2016 20:01:16,44.29135234,44.29135234
9/12/2016 20:01:31,37.84846432,37.84846432
9/12/2016 20:01:46,70.70601753,70.70601753
9/12/2016 20:02:01,44.04542763,44.04542763
9/12/2016 20:02:16,68.37159573,68.37159573
9/12/2016 20:02:31,52.17482706,52.17482706
9/12/2016 20:02:46,93.51897167,93.51897167
9/12/2016 20:03:01,101.8842547,101.8842547
9/12/2016 20:03:16,68.97155415,68.97155415
9/12/2016 20:03:31,36.31597064,36.31597064
9/12/2016 20:03:46,40.51382499,40.51382499
9/12/2016 20:04:01,34.68601368,34.75271756
9/12/2016 20:04:16,32.91752294,32.85088828
9/12/2016 20:04:31,141.879142,141.879142
9/12/2016 20:04:46,57.56804005,57.56804005
9/12/2016 20:05:01,30.8861533,30.8861533
9/12/2016 20:05:16,40.04735479,40.11398932
9/12/2016 20:05:31,60.69599775,60.82939555
9/12/2016 20:05:46,42.24953317,42.18289353
9/12/2016 20:06:01,33.41861893,33.41861893
9/12/2016 20:06:16,36.91292449,36.97955432
9/12/2016 20:06:31,45.36190504,45.29519636
9/12/2016 20:06:46,70.43281756,70.43281756
9/12/2016 20:07:01,33.54951616,33.54951616
9/12/2016 20:07:16,33.25304497,33.25304497
9/12/2016 20:07:31,33.4854797,33.55218384
9/12/2016 20:07:46,92.22190716,92.15527284
9/12/2016 20:08:01,118.0098016,118.0098016
9/12/2016 20:08:16,38.95513375,38.95513375
9/12/2016 20:08:31,44.84515955,44.84515955
9/12/2016 20:08:46,45.42502459,45.42502459
9/12/2016 20:09:01,38.8481928,38.8481928
9/12/2016 20:09:16,69.30528281,69.30528281
9/12/2016 20:09:31,52.10829585,52.10829585
9/12/2016 20:09:46,70.30590975,70.30590975
9/12/2016 21:00:01, , 
9/12/2016 21:00:16,40.28540533,40.28540533
9/12/2016 21:00:31,47.17732323,47.17732323
9/12/2016 21:00:46,68.83838773,68.83838773
9/12/2016 21:01:01,45.57801663,45.57801663
9/12/2016 21:01:16,38.55492504,38.55492504
9/12/2016 21:01:31,41.31347918,41.31347918
9/12/2016 21:01:46,68.70493071,68.70493071
9/12/2016 21:02:01,51.17149138,51.17149138
9/12/2016 21:02:16,37.02348256,37.02348256
9/12/2016 21:02:31,39.84744766,39.84744766
9/12/2016 21:02:46,41.28658709,41.28658709
9/12/2016 21:03:01,146.0074921,146.0074921
9/12/2016 21:03:16,61.63351016,61.63351016
9/12/2016 21:03:31,41.6471292,41.6471292
9/12/2016 21:03:46,34.01901284,34.01901284
9/12/2016 21:04:01,36.9155829,36.9155829
9/12/2016 21:04:16,34.64997658,34.64997658
9/12/2016 21:04:31,56.03118474,56.09788854
9/12/2016 21:04:46,65.03543116,64.96879649
9/12/2016 21:05:01,63.36834998,63.36834998
9/12/2016 21:05:16,45.77818716,45.77818716
9/12/2016 21:05:31,69.23852737,69.23852737
9/12/2016 21:05:46,42.31261151,42.31261151
9/12/2016 21:06:01,36.62083834,36.62083834
9/12/2016 21:06:16,57.30545768,57.30545768
9/12/2016 21:06:31,45.82575359,45.82575359
9/12/2016 21:06:46,34.71660437,34.71660437
9/12/2016 21:07:01,60.17100638,60.17100638
9/12/2016 21:07:16,42.71278225,42.71278225
9/12/2016 21:07:31,30.08345125,30.08345125
9/12/2016 21:07:46,100.0851452,100.0851452
9/12/2016 21:08:01,85.89183606,85.89183606
9/12/2016 21:08:16,35.2171092,35.2171092
9/12/2016 21:08:31,36.18503168,36.18503168
9/12/2016 21:08:46,44.49164109,44.49164109
9/12/2016 21:09:01,66.36812905,66.36812905
9/12/2016 21:09:16,55.03078477,55.03078477
9/12/2016 21:09:31,63.36933072,63.36933072
9/12/2016 21:09:46,53.42986109,53.42986109
9/12/2016 22:00:01, , 
9/12/2016 22:00:16,38.15072272,38.15072272
9/12/2016 22:00:31,32.52005792,32.52005792
9/12/2016 22:00:46,36.88725763,36.88725763
9/12/2016 22:01:01,40.71360103,40.71360103
9/12/2016 22:01:16,41.35656913,41.35656913
9/12/2016 22:01:31,43.71221305,43.71221305
9/12/2016 22:01:46,38.28806721,38.28806721
9/12/2016 22:02:01,39.58093958,39.58093958
9/12/2016 22:02:16,31.15075517,31.15075517
9/12/2016 22:02:31,35.11634781,35.11634781
9/12/2016 22:02:46,80.04474876,80.04474876
9/12/2016 22:03:01,120.6084865,120.6084865
9/12/2016 22:03:16,94.852942,94.852942
9/12/2016 22:03:31,33.31728828,33.31728828
9/12/2016 22:03:46,63.56948987,63.56948987
9/12/2016 22:04:01,50.69484412,50.69484412
9/12/2016 22:04:16,50.84221503,50.84221503
9/12/2016 22:04:31,86.11484338,86.11484338
9/12/2016 22:04:46,35.84891636,35.84891636
9/12/2016 22:05:01,103.392259,103.392259
9/12/2016 22:05:16,55.44002703,55.44002703
9/12/2016 22:05:31,55.09726621,55.09726621
9/12/2016 22:05:46,36.37999676,36.37999676
9/12/2016 22:06:01,44.89491643,44.89491643
9/12/2016 22:06:16,40.84698231,40.84698231
9/12/2016 22:06:31,31.34843621,31.34843621
9/12/2016 22:06:46,35.51893129,35.51893129
9/12/2016 22:07:01,80.84489909,80.84489909
9/12/2016 22:07:16,38.11503597,38.11503597
9/12/2016 22:07:31,40.15574282,40.15574282
9/12/2016 22:07:46,36.71570824,36.71570824
9/12/2016 22:08:01,111.8127528,111.8127528
9/12/2016 22:08:16,63.43542084,63.43542084
9/12/2016 22:08:31,51.2419028,51.2419028
9/12/2016 22:08:46,54.42985026,54.42985026
9/12/2016 22:09:01,72.83226024,72.83226024
9/12/2016 22:09:15,69.43883379,69.43883379
9/12/2016 22:09:31,40.44717837,40.44717837
9/12/2016 22:09:45,36.68714148,36.68714148
9/12/2016 22:10:01,66.43445671,66.43445671
9/12/2016 23:00:00, , 
9/12/2016 23:00:16,31.19707773,31.46371942
9/12/2016 23:00:31,46.44431088,46.17777251
9/12/2016 23:00:46,59.63331533,59.63331533
9/12/2016 23:01:01,35.98257756,35.98257756
9/12/2016 23:01:16,34.01901379,34.01901379
9/12/2016 23:01:31,41.04688788,41.04688788
9/12/2016 23:01:46,32.81836809,32.88507209
9/12/2016 23:02:01,45.17460835,45.17460835
9/12/2016 23:02:16,30.08586509,30.01915586
9/12/2016 23:02:31,51.7750508,51.7750508
9/12/2016 23:02:46,56.63170513,56.63170513
9/12/2016 23:03:01,93.55463287,93.55463287
9/12/2016 23:03:16,81.71229516,81.71229516
9/12/2016 23:03:31,39.51435465,39.51435465
9/12/2016 23:03:45,63.16843245,63.16843245
